rank,cluster_id,cluster_score,cluster_title,articles_count,unique_urls,outlets,products,primary_tags,representative_url
1,C036,12.85,Cuando trabajar desde casa afecta el bienestar: expertos explican cómo prevenir el desgaste mental,7,5,Elboyaldia; Elmorrocotudo; Elnaveghable; Elnortero; Elobservatodo,biz; nacional,product:regiones; sector:salud_educacion_social; region:Metropolitana; source:normal_scrape; sector:empresas_finanzas; sector:politica_estado; sector:justicia_seguridad; sector:laboral_gobernanza; economia_negocios,https://www.elnaveghable.cl/noticia/economia/cuando-trabajar-desde-casa-afecta-el-bienestar-expertos-explican-como-prevenir-el-d
2,C032,12.35,"Alerta Oncológica: Minsal logra contactar al 99,9% de pacientes con esperas prolongadas por cáncer",8,8,Elboyaldia; Elconcecuente; Elmagallanews; Elmorrocotudo; Elnaveghable; Elnortero; Elobservatodo; Elrancahuaso,nacional,product:regiones; sector:politica_estado; sector:salud_educacion_social; source:normal_scrape; sector:empresas_finanzas; sector:justicia_seguridad; sector:infraestructura_concesiones; region:Ñuble; salud,https://www.elmorrocotudo.cl/noticia/salud/alerta-oncologica-minsal-logra-contactar-al-999-de-pacientes-con-esperas-prolongadas-p
3,C033,12.35,El desafío de envejecer con dignidad: expertos llaman a fortalecer el buen trato hacia las personas mayores,5,5,Elboyaldia; Elmorrocotudo; Elnaveghable; Elnortero; Elobservatodo,nacional,sector:medioambiente_permisos; sector:politica_estado; sector:empresas_finanzas; sector:mineria_energia; sector:infraestructura_concesiones; region:Biobío; product:df_archive; source:df_body_archive; sector:ma_distress; region:Antofagasta,https://www.elmorrocotudo.cl/noticia/salud/el-desafio-de-envejecer-con-dignidad-expertos-llaman-fortalecer-el-buen-trato-hacia-la
4,C035,12.35,Brechas educativas persisten para estudiantes indígenas: el desafío de una educación más inclusiva,8,8,Elboyaldia; Elconcecuente; Elmagallanews; Elmorrocotudo; Elnaveghable; Elnortero; Elobservatodo; Elrancahuaso,nacional,product:regiones; sector:salud_educacion_social; sector:empresas_finanzas; source:normal_scrape; region:Valparaíso; sector:politica_estado; sector:justicia_seguridad; region:Atacama; educacion,https://www.elmorrocotudo.cl/noticia/educacion/brechas-educativas-persisten-para-estudiantes-indigenas-el-desafio-de-una-educacio
5,C002,11.35,La integración tributaria: el debate de fondo en la megarreforma,2,1,Ciper,biz; nacional,sector:politica_estado; sector:empresas_finanzas; source:normal_scrape; sector:justicia_seguridad; product:nacional; sector:medioambiente_permisos; sector:economia_macro; sector:salud_educacion_social,https://www.ciperchile.cl/2026/06/14/la-integracion-tributaria-el-debate-de-fondo-en-la-megarreforma
6,C003,11.35,Vacaciones de invierno: cuando el territorio no cabe en el calendario escolar,2,1,Ciper,nacional; regiones,sector:politica_estado; sector:empresas_finanzas; product:regiones; sector:salud_educacion_social; sector:infraestructura_concesiones; sector:medioambiente_permisos; sector:mineria_energia; source:normal_scrape,https://www.ciperchile.cl/2026/06/14/vacaciones-de-invierno-cuando-el-territorio-no-cabe-en-el-calendario-escolar
7,C004,11.3,"Entre peluquerías y bajo flujo: Los crudos días de Los Cobres de Vitacura, ícono arquitectónico del sector Oriente",2,1,Emol,biz; regiones,source:normal_scrape; sector:laboral_gobernanza; sector:justicia_seguridad; sector:empresas_finanzas; sector:infraestructura_concesiones; product:regiones; sector:medioambiente_permisos; region:Metropolitana; economia_negocios,https://www.emol.com/noticias/Economia/2026/06/14/1202534/los-cobres-de-vitacura-actualidad.html
8,C005,11.15,Subsecretaria Lagos adelanta que nuevo Estatuto Laboral del Turismo se presentará a fin de mes y detalla sus ejes,2,1,Ex-Ante,biz; nacional,sector:politica_estado; source:normal_scrape; sector:empresas_finanzas; sector:justicia_seguridad; product:nacional; product:regiones; sector:infraestructura_concesiones; sector:laboral_gobernanza,https://www.ex-ante.cl/subsecretaria-lagos-adelanta-que-nuevo-estatuto-laboral-del-turismo-se-presentara-a-fin-de-mes-y-detalla-sus-ejes
9,C006,11.15,Quién está detrás de la empresa española que inauguró en Antofagasta la planta de baterías más grande de América,2,1,Ex-Ante,biz; regiones,sector:mineria_energia; source:normal_scrape; sector:infraestructura_concesiones; product:nacional; sector:justicia_seguridad; sector:salud_educacion_social; sector:ma_distress; sector:empresas_finanzas,https://www.ex-ante.cl/quien-esta-detras-de-la-empresa-espanola-que-inauguro-en-antofagasta-la-planta-de-baterias-mas-grande-de-america
10,C008,11.15,"Los hitos que marcarán el IPoM de junio: anticipan menor crecimiento, cautela con la TPM y un corredor de tasas más neutral",2,1,Ex-Ante,biz; nacional,source:normal_scrape; product:nacional; sector:justicia_seguridad; sector:salud_educacion_social; sector:mineria_energia; sector:economia_macro; sector:ma_distress; sector:infraestructura_concesiones,https://www.ex-ante.cl/los-hitos-que-marcaran-el-ipom-de-junio-anticipan-menor-crecimiento-cautela-con-la-tpm-y-un-corredor-de-tasas-mas-neutral
11,C009,11.15,Bermuda: Cómo es la apuesta del nuevo restaurante con simuladores virtuales de golf en Las Condes,2,1,Ex-Ante,biz; regiones,source:normal_scrape; sector:justicia_seguridad; sector:salud_educacion_social; sector:mineria_energia; sector:ma_distress; sector:infraestructura_concesiones; product:nacional; sector:empresas_finanzas,https://www.ex-ante.cl/bermuda-como-es-la-apuesta-del-nuevo-restaurante-con-simuladores-virtuales-de-golf-en-las-condes
12,C013,11.15,La revancha de la minería: el nuevo ciclo de inversiones por más de US$17.000 millones que toma fuerza en Chile,2,1,Ex-Ante,biz; nacional,sector:mineria_energia; sector:politica_estado; sector:medioambiente_permisos; source:normal_scrape; sector:laboral_gobernanza; sector:economia_macro; sector:empresas_finanzas; sector:justicia_seguridad,https://www.ex-ante.cl/la-revancha-de-la-mineria-el-nuevo-ciclo-de-inversiones-por-mas-de-us17-000-millones-que-toma-fuerza-en-chile
13,C038,10.95,Opinión: Cada gota cuenta: expertos destacan el valor de la donación voluntaria de sangre,5,5,Elboyaldia; Elmorrocotudo; Elnortero; Elobservatodo; Elvacanudo,nacional,noise:deportes; product:regiones; noise:opinion; sector:medioambiente_permisos; region:Valparaíso; region:Atacama; product:biz; region:Maule; salud,https://www.elmorrocotudo.cl/noticia/salud/opinion-cada-gota-cuenta-expertos-destacan-el-valor-de-la-donacion-voluntaria-de-sangr
14,C001,10.85,La espada de Damocles en salud,1,1,Ciper,nacional,product:nacional; noise:opinion; product:biz; sector:medioambiente_permisos; source:normal_scrape; sector:politica_estado; sector:empresas_finanzas; product:regiones,https://www.ciperchile.cl/2026/06/14/la-espada-de-damocles-en-salud
15,C034,10.8,Cuidar la salud masculina: exámenes oportunos aumentan las posibilidades de superar el cáncer de próstata,4,4,Elboyaldia; Elnaveghable; Elnortero; Elobservatodo,nacional,product:regiones; sector:medioambiente_permisos; source:normal_scrape; product:biz; sector:politica_estado; sector:salud_educacion_social; sector:empresas_finanzas; sector:justicia_seguridad,https://www.elnaveghable.cl/noticia/cancer-de-prostata/cuidar-la-salud-masculina-examenes-oportunos-aumentan-las-posibilidades-d
16,C014,10.7,Trabajadores portuarios anuncian paro nacional para el jueves: acusan incumplimiento de acuerdos del Gobierno,2,1,The Clinic,biz; nacional,product:regiones; sector:politica_estado; region:Magallanes; sector:medioambiente_permisos; source:normal_scrape; sector:empresas_finanzas; sector:justicia_seguridad; sector:salud_educacion_social,https://www.theclinic.cl/2026/06/14/trabajadores-portuarios-acusan-incumplimiento-de-acuerdos-con-el-gobierno-y-anuncian-paro-nacional-para-el-jueves
